Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dc-shoes-williams-slim-1,,,,,,,,7.5,,white black red,,,DC09,1600.0,shopify,1,deny,manual,259000.00,,true,true,191282701744,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/131946-0-DC-WilliamsSlim.jpg?v=1612551408,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/dc-willisa.png?v=1612551408,kg,,,
dc-shoes-williams-slim-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/131946-1-DC-WilliamsSlim.jpg?v=1612551408,3,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-williams-slim-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/131946-2-DC-WilliamsSlim.jpg?v=1612551408,4,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-williams-slim,Williams slim,"<p>DETALLES<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Zapatos de skate DC Williams Slim - Naranja fluorescente<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Parte superior: parte superior de ante, nobuck o cuero [según la combinación de colores]<br data-mce-fragment=""1"">Ojal moldeado de TPR<br data-mce-fragment=""1"">Logotipo de cuarto de TPR moldeado<br data-mce-fragment=""1"">Cuello acolchado en el tendón de Aquiles para mayor comodidad<br data-mce-fragment=""1"">Forro de malla<br data-mce-fragment=""1"">Plantilla de EVA para amortiguación<br data-mce-fragment=""1"">Entresuela Unilite ™ para una comodidad y un apoyo ligeros<br data-mce-fragment=""1"">Suela de goma adhesiva resistente a la abrasión por absorción<br data-mce-fragment=""1"">Suela de espiga con la banda de rodadura Pill Pattern registrada de DC<br data-mce-fragment=""1"">No hay cultura del skate sin el legado de Stevie Williams. Lanzado por primera vez en 2000, el Williams OG nos vuelve a sorprender en una combinación de colores amarillo y gris original. Famoso por su diseño deportivo, a diferencia de cualquier zapato de skate anterior, el Williams es un guiño al Hip Hop y al dominio de la calle.</p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0539/4871/1093/files/logo-dc_480x480.png?v=1612800807""></p>",dc shoes,SHOES,"8, 8.5, 9, dc shoes",true,Talla,8,Color,fluorecent orange,,,DC08,1500.0,shopify,0,deny,manual,239000.00,,true,false,191282699188,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DCSHOESWILLIAMSS.................................................................................................................png?v=1612550329,1,,false,DC SHOES WILLIAMS SLIM,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DCSHOESWILLIAMSS.................................................................................................................png?v=1612550329,kg,,,active
dc-shoes-williams-slim,,,,,,,,8.5,,fluorecent orange,,,DC08,1500.0,shopify,1,deny,manual,239000.00,,true,true,191282699195,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_1_7551a4e1-d4e8-464b-ba51-f653cfd4b6b3.jpg?v=1612550330,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DCSHOESWILLIAMSS.................................................................................................................png?v=1612550329,kg,,,
dc-shoes-williams-slim,,,,,,,,9,,fluorecent orange,,,DC08,1500.0,shopify,1,deny,manual,239000.00,,true,true,191282699201,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_2_5e2b8723-de3d-4374-af4f-ea78444d9ff5.jpg?v=1612550330,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DCSHOESWILLIAMSS.................................................................................................................png?v=1612550329,kg,,,
dc-shoes-williams-slim,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_3_67d196e6-4c9d-4bc3-aa5f-81d82677782f.jpg?v=1612550330,4,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-williams-slim,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_4_dcb74951-6974-4431-96e9-9312292fa491.jpg?v=1612550330,5,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-williams-slim,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_8.jpg?v=1612550330,6,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-williams-slim,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_055ca91f-f099-46f4-b39d-ccaddf784932.jpg?v=1612550330,7,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-williams-slim,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_ab39fb0d-6e1b-4a98-b4c1-c0d177091c23.jpg?v=1612550330,8,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-lite,Kalis Lite,"<p>CARACTERISTICAS</p>
<p>El DC shoes Kalis lite SE es una reinterpretación del clásico DC Shoes JK1 de finales de los 90 que se lanzó originalmente en 1998, la nueva versión Lite toma todas las señales de diseño del zapato original utilizando el diseño de paneles único de la parte superior e incorpora eso con un nueva entresuela de EVA que se asienta sobre una suela de goma con agarre con el ""patrón de píldora"" de DC.<br data-mce-fragment=""1"">Esta interpretación del Kalis Lite consiste en un color base negro con paneles con estampado de camuflaje, también con un panel reflectante que se sienta encima de una unidad de suela blanca limpia.<br data-mce-fragment=""1"">El sistema de cordones utilizado en el Kalis Lite es el sistema de cordones ""DC ghillie"" por el que DC se hizo tan conocido en el modelo original.<br data-mce-fragment=""1"">Diseño inspirado en el JK1 de Kalis lanzado en 1998.<br data-mce-fragment=""1"">Suela inspirada en el corredor para mayor comodidad.<br data-mce-fragment=""1"">Opción perfecta de calzado fuera de la tabla.<br data-mce-fragment=""1"">Utillaje de EVA ligero.<br data-mce-fragment=""1"">La banda de rodadura Pill Pattern registrada por DC.<br data-mce-fragment=""1"">Sistema clásico de cordones DC ghillie.<br data-mce-fragment=""1"">Logotipo de TPU.<br data-mce-fragment=""1"">Detalle de Josh Kalis.</p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0539/4871/1093/files/logo-dc_480x480.png?v=1612800807""></p>",dc shoes,SHOES,"6, dc shoes",true,Talla,6,Color,black camo print,,,DC07,1500.0,shopify,1,deny,manual,250000.00,,true,true,191282572917,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DCSHOESBLACKCAMOPRINT............................................................................................................................png?v=1612550047,1,,false,DC SHOES Kalis Lite,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DCSHOESBLACKCAMOPRINT............................................................................................................................png?v=1612550047,kg,,,active
dc-shoes-kalis-lite,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_Lite_SE_Black_Camo_Print_1-100x100.jpg?v=1612550047,2,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-lite,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_Lite_SE_Black_Camo_Print_2-100x100.jpg?v=1612550047,3,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-lite,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_Lite_SE_Black_Camo_Print_3-100x100.jpg?v=1612550047,4,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-lite,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_Lite_SE_Black_Camo_Print_4-100x100_1.jpg?v=1612550048,5,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-lite,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_Lite_SE_Black_Camo_Print_4-100x100.jpg?v=1612550048,6,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-lite,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_Lite_SE_Black_Camo_Print_6-100x100.jpg?v=1612550048,7,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-lite,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_Lite_SE_Black_Camo_Print_7-100x100.jpg?v=1612550048,8,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-3,Kalis se,"<button type=""button"" class=""r-slide-action-title"" aria-expanded=""false"" data-mce-fragment=""1"">DETALLES &amp; CARACTERÍSTICAS</button>
<div class=""r-slide-action-block-content"" data-mce-fragment=""1"">
<h2 class=""r-desc-short"" data-mce-fragment=""1"">Kalis Shoes for Men</h2>
<p class=""r-desc-long"" data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1"">La Kalis SE viene equipada con un inconfundible ADN de diseño. Esta versión del clásico remezcla nuestro pasado y nuestro futuro con estilo original y tecnología moderna. Prepárate para la batalla con los colores de la Fallout Collection [OGN].</p>
<p data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>
<p id=""master-product-id"" data-id=""ADYS100507"" data-mce-fragment=""1"">Modelo: ADYS100507</p>
<p class=""r-slide-action-block-title"" data-mce-fragment=""1"">Características técnicas</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1"">Suede, nubuck, leather or textile upper [depending on colorway]<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Bootie construction for secure fit<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Molded TPR logo<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Mesh lining<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1"">OrthoLite® footbed for cushioning<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Unilite™ midsole for lightweight comfort and support<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Absorption abrasion-resistant sticky rubber outsole<br data-mce-fragment=""1""></p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1"">DC's trademarked Pill Pattern tread</p>
</li>
<li data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0539/4871/1093/files/logo-dc_480x480.png?v=1612800807""></li>
</ul>
</div>",dc shoes,SHOES,"7.5, dc shoes",true,Talla,7.5,Color,oil green,,,DC06,1500.0,shopify,1,deny,manual,249000.00,,true,true,191282601655,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/KALIS-S-NEGRO-VERDE.png?v=1612549794,1,,false,DC SHOES KALIS SE,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/KALIS-S-NEGRO-VERDE.png?v=1612549794,kg,,,active
dc-shoes-kalis-s-3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/adys100507_kalisse_p_ogn_bck1.jpg?v=1612549794,2,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/adys100507_kalisse_p_ogn_frt1.jpg?v=1612549795,3,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/adys100507_kalisse_p_ogn_frt2.jpg?v=1612549795,4,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/adys100507_kalisse_p_ogn_frt3.jpg?v=1612549795,5,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/adys100507_kalisse_p_ogn_frt4.jpg?v=1612549795,6,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/bradys100507_dcshoes-br_p_ogn_frt2.jpg?v=1612549795,7,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-2,Kalis,"<p>El DC Shoes Kalis S es la próxima iteración de la línea de zapatos icónicos de Josh Kalis, este zapato combina un equilibrio de señales de diseño clásico con un estilo y tecnología modernos para crear uno de los zapatos más calientes del mercado.<br data-mce-fragment=""1"">Este Kalis viene en una combinación de colores completamente negra.<br data-mce-fragment=""1"">Diseño inspirado en el JK1 de Kalis lanzado en 1998.<br data-mce-fragment=""1"">Ajuste de botín seguro para un ajuste cómodo.<br data-mce-fragment=""1"">Perfecto fuera o en la opción de calzado de tabla.<br data-mce-fragment=""1"">Construcción de suela de EVA ligera con suela de goma resistente a la abrasión.<br data-mce-fragment=""1"">Entresuela UniLite ™ para máxima comodidad ligera y soporte constante<br data-mce-fragment=""1"">La banda de rodadura Pill Pattern registrada por DC.<br data-mce-fragment=""1"">Sistema clásico de cordones DC ghillie.<br data-mce-fragment=""1"">Logotipos de TPU con detalles y paneles de Josh Kalis.</p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0539/4871/1093/files/logo-dc_480x480.png?v=1612800807""></p>",dc shoes,SHOES,"7, 7.5, dc shoes",true,Talla,7.5,Color,black black black,,,DC05,1500.0,shopify,1,deny,manual,249000.00,,true,true,191282602614,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/dcshoeskalissblackblackblack.png?v=1612977426,1,,false,DC SHOES KALIS,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/dcshoeskalissblackblackblack.png?v=1612977426,kg,,,active
dc-shoes-kalis-s-2,,,,,,,,7,,black black black,,,DC05,1500.0,shopify,2,deny,manual,249000.00,,true,true,191282602607,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_S_Black_Black_Black_1-100x100.jpg?v=1612977426,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/dcshoeskalissblackblackblack.png?v=1612977426,kg,,,
dc-shoes-kalis-s-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_S_Black_Black_Black_2-100x100.jpg?v=1612977426,3,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_S_Black_Black_Black_3-100x100.jpg?v=1612977426,4,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_S_Black_Black_Black_4-100x100.jpg?v=1612977426,5,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_S_Black_Black_Black_5-100x100.jpg?v=1612977426,6,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_S_Black_Black_Black_6-100x100.jpg?v=1612977426,7,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC_Shoes_Kalis_S_Black_Black_Black_7-100x100.jpg?v=1612977426,8,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_8_erferferf.jpg?v=1612977426,9,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_8_erferfgerf.jpg?v=1612977426,10,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_8_rferferf.jpg?v=1612977426,11,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_8_rfertfgetfg.jpg?v=1612977426,12,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/rferferfer.jpg?v=1612977426,13,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/trgrtgr.jpg?v=1612977426,14,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-penza,Penza,"El DC Shoes Penza es un gran zapato de skate versátil, que combina un diseño clásico de paneles múltiples con una estética delgada moderna, asentada sobre una suela de rendimiento.<br data-mce-fragment=""1"">Este Penza cuenta con una paleta de colores superior completamente negra con una unidad de suela negra y goma.<br data-mce-fragment=""1"">Forro interior de malla y un forro de calcetín de EVA que brindan una excelente comodidad bajo los pies.<br data-mce-fragment=""1"">Acolchado de espuma en el cuello y la lengüeta para mayor sujeción.<br data-mce-fragment=""1"">Detalles de la marca DC Shoes en la lengüeta, en el medio exterior y en el talón.<br data-mce-fragment=""1"">Unidad de suela de rendimiento esculpida que ofrece un rendimiento excelente, terminada con la clásica banda de rodadura de DC.",dc shoes,SHOES,"7.5, dc shoes",true,Talla,7.5,Color,black gum,,,DC04,1600.0,shopify,1,deny,manual,219000.00,,true,true,191282641279,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DCSHOESPENZABLACKGUM.......................................................................................png?v=1612549332,1,,false,DC SHOES PENZA,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DCSHOESPENZABLACKGUM.......................................................................................png?v=1612549332,kg,,,active
dc-shoes-penza,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_6_c2eb4ab8-4311-4132-8d9f-4ba50dfbad1e.jpg?v=1612549333,2,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-penza,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_1_fc5fc44d-d2da-46c5-8008-5e06980b977b.jpg?v=1612549333,3,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-penza,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_2_d2d9da0b-5b32-41c2-b739-d65259c31936.jpg?v=1612549333,4,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-penza,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_3_f0f1b84f-e3ce-4509-9800-093055ee3607.jpg?v=1612549333,5,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-penza,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_4_f28f4002-b6b3-41e0-ab8e-42e35df973ee.jpg?v=1612549333,6,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-penza,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_5_11392f5a-122f-4653-823b-0a3597a6567e.jpg?v=1612549333,7,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-penza,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_7dc5b7d6-7416-493f-8c75-0cbf59073666.jpg?v=1612549333,8,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-penza,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_de241e95-b101-4469-ac38-5c06b1481059.jpg?v=1612549333,9,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-vandium,Vandium,"<p>Fundada en 1994, DC creció rápidamente hasta convertirse en un líder en zapatillas de skate de alto rendimiento y una marca de deportes de acción reconocida. En la actualidad, DC se erige como una marca global cuya línea de productos se ha expandido para incluir calzado, ropa, tablas de snowboard, botas de snowboard, ropa de abrigo y accesorios para hombres, mujeres y niños. Como una de las piedras angulares de su estrategia de marketing, DC ha creado un equipo de clase mundial de atletas profesionales de patineta, snowboard y motocross que ejemplifican y mejoran la marca de DC, desarrollan sus productos exclusivos y respaldan sus esfuerzos promocionales.</p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0539/4871/1093/files/logo-dc_480x480.png?v=1612800807""></p>",dc shoes,SHOES,"9.5, dc shoes",true,Talla,9.5,Color,navy white,,,DC03,1500.0,shopify,1,deny,manual,229000.00,,true,true,191282597453,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DCSHOESVANDIUMBLUE..............................................................................................................................png?v=1612549126,1,,false,DC SHOES VANDIUM,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DCSHOESVANDIUMBLUE..............................................................................................................................png?v=1612549126,kg,,,active
dc-shoes-vandium,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/adys200069_vandium_p_nwh_frt2.jpg?v=1612549126,2,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-vandium,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DC-Vandium-Navy-White-Mens-Athletic-Skate-Shoes.jpg?v=1612549126,3,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-vandium,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_ea299830-09f7-4f20-89fb-0ab706cdf5ae.jpg?v=1612549126,4,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-1,Kalis s se,"DESCRIPCIÓN:<br data-mce-fragment=""1"">Si te encanta Love Park, te encantará el Kalis SE. Los DC Kalis SE Shoes son un nuevo zapato de skate DC inspirado en el OG DC que Kalis Josh usó en todas sus mejores partes de video cuando Love todavía estaba intacto. El volumen y la durabilidad de los 90 de las OG Kalis se han atenuado para un ajuste más moderno, pero los paneles reforzados y el estilo de la zapatilla siguen muy presentes. Ya sea que esté tomando el Kalis SE para patinar o simplemente para relajarse, no se sentirá decepcionado. La combinación de ante / cuero en la parte superior y el sistema de cordones DC ghillie hacen que este zapato sea casi indestructible y brinde ese estilo de los 90 que se ve genial dentro y fuera de la tabla.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Parte superior de ante / cuero, zapato de skate de construcción Cupsole<br data-mce-fragment=""1"">Sistema de cordones DC ghillie, logotipo de TPU<br data-mce-fragment=""1"">Marca Josh Kalis, dibujo de pastilla de goma<br data-mce-fragment=""1"">Importado<img src=""https://cdn.shopify.com/s/files/1/0539/4871/1093/files/logo-dc_480x480.png?v=1612800807"" alt="""" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0539/4871/1093/files/logo-dc_480x480.png?v=1612800807"">",dc shoes,SHOES,"8, dc shoes",false,Talla,8,Color,brown chocolate,,,DC02,1500.0,shopify,2,deny,manual,269900.00,,true,true,191282640173,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DCSHOESKALISSBROWNCHOCOLATE.............................................................................png?v=1612548925,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/DCSHOESKALISSBROWNCHOCOLATE.............................................................................png?v=1612548925,kg,,,archived
dc-shoes-kalis-s-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_5_2dfd8a21-4cd6-4efc-b679-a4d0eaaee6ba.jpg?v=1612548925,2,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_6.jpg?v=1612548926,3,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/download_7.jpg?v=1612548926,4,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_1_78a0c52f-bb77-4bb3-a46d-4eb51ac322f2.jpg?v=1612548926,5,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_2_fbef8cfb-32cc-448d-9533-384db532e2ac.jpg?v=1612548926,6,,,,,,,,,,,,,,,,,,,,,,
dc-shoes-kalis-s-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/images_eded9156-c041-4001-84c1-9da9313f0e55.jpg?v=1612548926,7,,,,,,,,,,,,,,,,,,,,,,
